year,gear,ocean,species,product,property,value
2012,LL,EPO,BET,lc,sales_value,50436120.17
2012,LL,EPO,BET,fsh_sash,volume,9516.6
2012,LL,EPO,BET,fsh_sash,catch_value,59623438.12
2012,LL,EPO,BET,fsh_sash,sales_value,210215746.1
2012,LL,EPO,BET,fzn_sash,volume,15861
2012,LL,EPO,BET,fzn_sash,catch_value,172142896.9
2012,LL,EPO,BET,fzn_sash,sales_value,274237896.8
2012,LL,EPO,YFT,lc,volume,2023.8
2012,LL,EPO,YFT,lc,catch_value,4577835.6
2012,LL,EPO,YFT,lc,sales_value,19737974.6
2012,LL,EPO,YFT,fsh_sash,volume,3035.7
2012,LL,EPO,YFT,fsh_sash,catch_value,14936785.96
2012,LL,EPO,YFT,fsh_sash,sales_value,57087856.35
2012,LL,EPO,YFT,fzn_sash,volume,5059.5
2012,LL,EPO,YFT,fzn_sash,catch_value,29695987.16
2012,LL,EPO,YFT,fzn_sash,sales_value,92693449.66
2012,Other,EPO,ALB,lc,volume,563
2012,Other,EPO,ALB,lc,catch_value,1943476
2012,Other,EPO,ALB,lc,sales_value,5065231.549
2012,Other,EPO,ALB,dom,volume,563
2012,Other,EPO,ALB,dom,catch_value,1943476
2012,Other,EPO,ALB,dom,sales_value,1689000
2012,Other,EPO,PBF,fsh_sash,volume,38
2012,Other,EPO,PBF,fsh_sash,catch_value,1374988.506
2012,Other,EPO,PBF,fsh_sash,sales_value,2043372.081
2012,Other,EPO,SKJ,lc,volume,103.9
2012,Other,EPO,SKJ,lc,catch_value,163535.4874
2012,Other,EPO,SKJ,lc,sales_value,646265.3868
2012,Other,EPO,SKJ,dom,volume,935.1
2012,Other,EPO,SKJ,dom,catch_value,1471819.387
2012,Other,EPO,SKJ,dom,sales_value,3272850
2012,Other,EPO,YFT,lc,volume,264
2012,Other,EPO,YFT,lc,catch_value,597168
2012,Other,EPO,YFT,lc,sales_value,2574772.85
2012,Other,EPO,YFT,dom,volume,264
2012,Other,EPO,YFT,dom,catch_value,597168
2012,Other,EPO,YFT,dom,sales_value,1452000
2012,PS,EPO,BET,lc,volume,75731
2012,PS,EPO,BET,lc,catch_value,146766678
2012,PS,EPO,BET,lc,sales_value,602039249.9
2012,PS,EPO,PBF,fzn_sash,volume,4333.55
2012,PS,EPO,PBF,fzn_sash,catch_value,73011624.92
2012,PS,EPO,PBF,fzn_sash,sales_value,321417189.6
2012,PS,EPO,PBF,ranch,volume,2333.45
2012,PS,EPO,PBF,ranch,catch_value,29247462.3
2012,PS,EPO,PBF,ranch,sales_value,173070794.4
2012,PS,EPO,SKJ,lc,volume,256504
2012,PS,EPO,SKJ,lc,catch_value,403729611.8
2012,PS,EPO,SKJ,lc,sales_value,1595473116
2012,PS,EPO,YFT,lc,volume,198017
2012,PS,EPO,YFT,lc,catch_value,447914454
2012,PS,EPO,YFT,lc,sales_value,1931245437
2012,TR,EPO,ALB,lc,volume,14970.6
2012,TR,EPO,ALB,lc,catch_value,51678511.2
