year,gear,ocean,species,product,volume,catch_value,sales_value
2014,GN,WCPO,BET,lc,2253.6,3060388.8,18097805.01
2014,GN,WCPO,BET,dom,250.4,340043.2,1001600
2014,GN,WCPO,PBF,fsh_sash,1916,0,0
2014,GN,WCPO,SKJ,lc,49603.5,56647197,311677625.3
2014,GN,WCPO,SKJ,dom,5511.5,6294133,19290250
2014,GN,WCPO,YFT,lc,3771.9,4828032,37161490.17
2014,GN,WCPO,YFT,dom,419.1,536448,2305050
2014,HL,WCPO,ALB,dom,174,449616,522000
2014,HL,WCPO,BET,fsh_sash,8099,58272305,141227223.6
2014,HL,WCPO,SKJ,dom,18308,20907736,64078000
2014,HL,WCPO,YFT,fzn_sash,55983,265919250,797993243.7
2014,LL,WCPO,ALB,lc,73186.4,189113657.6,665149470.6
2014,LL,WCPO,ALB,fzn_sash,18296.6,57323247.8,276538093.9
2014,LL,WCPO,BET,fsh_sash,35956,258703420,626986795.1
2014,LL,WCPO,BET,fzn_sash,35956,256186500,543445432.6
2014,LL,WCPO,PBF,fzn_sash,1195,25108411.56,68885229.46
2014,LL,WCPO,SKJ,lc,1986,2268012,12478792.1
2014,LL,WCPO,YFT,fsh_sash,46148,256305992,679472768.7
2014,LL,WCPO,YFT,fzn_sash,46148,219203000,657803122.6
2014,Other,WCPO,ALB,lc,425,1098200,3862582.734
2014,Other,WCPO,BET,fsh_sash,274,1971430,4777905.825
2014,Other,WCPO,PBF,fsh_sash,499,12639039.08,23286325.58
2014,Other,WCPO,SKJ,dom,9517,10868414,33309500
2014,Other,WCPO,YFT,fzn_sash,6470,30732500,92224716.2
2014,PS,WCPO,BET,lc,58022.4,78794419.2,465955840.2
2014,PS,WCPO,BET,fzn_sash,14505.6,103352400,219240239.9
2014,PS,WCPO,PBF,fsh_sash,6761,171247581.6,315508711.9
2014,PS,WCPO,SKJ,lc,1682513,1921429846,10571868040
2014,PS,WCPO,YFT,lc,383984,491499520,3783084822
2014,TR,WCPO,ALB,lc,2834,7323056,25756610.51
2014,TR,WCPO,BET,fsh_sash,3093,22254135,53934535.46
2014,TR,WCPO,BET,fzn_sash,3093,22037625,46748156.72
2014,TR,WCPO,PBF,For ranching,1023,8206260.48,55009727.33
2014,TR,WCPO,SKJ,lc,38043.6,43445791.2,239042384.2
2014,TR,WCPO,SKJ,dom,16304.4,18619624.8,57065400
